"时间","级别","来源","类型","方法","消息","应用名称","执行类型","执行方法","执行目录"
"2017-04-27 09:45:21:935","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""UTs_Y7ZNt5mZXPtZdBifJgYkc2gslVXBJcZ2W751RaFZdxzpKBa3hEiGlSOeAFgvraMlp20xqPSwbQiFb-jElcuXPJ3N04RTzGvnb_ZPDXIKb_XCAlkN8903k8cBdvSTLLLcAAAQQQ"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:45:33:881","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=UTs_Y7ZNt5mZXPtZdBifJgYkc2gslVXBJcZ2W751RaFZdxzpKBa3hEiGlSOeAFgvraMlp20xqPSwbQiFb-jElcuXPJ3N04RTzGvnb_ZPDXIKb_XCAlkN8903k8cBdvSTLLLcAAAQQQ&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6LKkrMOgIkEC2YGmGsrk0wNQNNLp0a46gO07y5Wik-mEQ"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:52:06:259","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=UTs_Y7ZNt5mZXPtZdBifJgYkc2gslVXBJcZ2W751RaFZdxzpKBa3hEiGlSOeAFgvraMlp20xqPSwbQiFb-jElcuXPJ3N04RTzGvnb_ZPDXIKb_XCAlkN8903k8cBdvSTLLLcAAAQQQ&type=jsapi】, result:【{""errcode"":40001,""errmsg"":""invalid credential, access_token is invalid or not latest hint: [U6LsSA0885vr44!]""}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:52:16:601","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:56:49:367","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:56:49:414","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:56:52:148","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""e2pV0r2CdfBLmJ_2AINZ8EWMG5haFUaAkSrgkVUh-j893GMg6lqiJTqJMCiqVnN8-7dWTFat1Bi59QZgnT_uCwOjp6VhG0NSgqzXlz3cWyqwxFsPh0uXy_lC3ABUFmlDSXTfACADIE"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:56:58:357","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=e2pV0r2CdfBLmJ_2AINZ8EWMG5haFUaAkSrgkVUh-j893GMg6lqiJTqJMCiqVnN8-7dWTFat1Bi59QZgnT_uCwOjp6VhG0NSgqzXlz3cWyqwxFsPh0uXy_lC3ABUFmlDSXTfACADIE&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6LKkrMOgIkEC2YGmGsrk0wNQNNLp0a46gO07y5Wik-mEQ"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:58:10:376","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:58:10:412","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:58:11:028","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""Db6rsW0aJ2_XonZZMc0YnaNssukHIE6Q2TElB1JnidsGNio5A0iOHf0HUDmEIRhzDuWhRwo_GLetwWTYU8HxVIHgAAsW2QfbrD5eV0ffD8uXOKxmrwB7ok2UjZi3NKNpFDNgACAZXH"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:58:13:952","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=Db6rsW0aJ2_XonZZMc0YnaNssukHIE6Q2TElB1JnidsGNio5A0iOHf0HUDmEIRhzDuWhRwo_GLetwWTYU8HxVIHgAAsW2QfbrD5eV0ffD8uXOKxmrwB7ok2UjZi3NKNpFDNgACAZXH&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6LKkrMOgIkEC2YGmGsrk0wNQNNLp0a46gO07y5Wik-mEQ"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:59:36:421","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=Db6rsW0aJ2_XonZZMc0YnaNssukHIE6Q2TElB1JnidsGNio5A0iOHf0HUDmEIRhzDuWhRwo_GLetwWTYU8HxVIHgAAsW2QfbrD5eV0ffD8uXOKxmrwB7ok2UjZi3NKNpFDNgACAZXH&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6LKkrMOgIkEC2YGmGsrk0wNQNNLp0a46gO07y5Wik-mEQ"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:08:00:936","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:08:01:264","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:12:27:048","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:12:27:079","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:12:48:434","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""6Y6v-KzMNqnFc6W7ynMDA3n8XmaKCxoCvinyI7F-TtYU8DKV6ofokXQpCNfJeWlcx_3yrFXgZ1TeR9qDxDECZR_dVziDf2ejX5P3mWUYEsTSf9mWJjp-T_dT_NJqOuTHBAFfAIAEDI"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:12:48:450","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""6Y6v-KzMNqnFc6W7ynMDA3n8XmaKCxoCvinyI7F-Ttb3GcIr2bIpcmGLmxZroUJNIEZyRBqpm5K7G_Fm2m5Y6d2QDoQnxaNDFYA-_hocaXu0OzYC-obhrZ9VSQ0nnFHkHAGfAIAYRX"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:13:04:365","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=6Y6v-KzMNqnFc6W7ynMDA3n8XmaKCxoCvinyI7F-Ttb3GcIr2bIpcmGLmxZroUJNIEZyRBqpm5K7G_Fm2m5Y6d2QDoQnxaNDFYA-_hocaXu0OzYC-obhrZ9VSQ0nnFHkHAGfAIAYRX&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:13:09:567","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=6Y6v-KzMNqnFc6W7ynMDA3n8XmaKCxoCvinyI7F-TtYU8DKV6ofokXQpCNfJeWlcx_3yrFXgZ1TeR9qDxDECZR_dVziDf2ejX5P3mWUYEsTSf9mWJjp-T_dT_NJqOuTHBAFfAIAEDI&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:14:44:720","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=6Y6v-KzMNqnFc6W7ynMDA3n8XmaKCxoCvinyI7F-Ttb3GcIr2bIpcmGLmxZroUJNIEZyRBqpm5K7G_Fm2m5Y6d2QDoQnxaNDFYA-_hocaXu0OzYC-obhrZ9VSQ0nnFHkHAGfAIAYRX&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:15:49:895","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:19:20:505","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:19:20:552","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:19:42:389","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""3r6L6Cxcqa2zAuLgPoI4FyScCRAdXGhUAl1jaVE-JojIrypGnn3J6Angcl1u8U4AJa0sP0emzsv5u0gcA3t2mrkO8tSdAAtpuNj7uhCWfq9vVISLLh8Ojsn4ZfEdgv0xOBFcAJAUHL"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:19:43:416","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=3r6L6Cxcqa2zAuLgPoI4FyScCRAdXGhUAl1jaVE-JojIrypGnn3J6Angcl1u8U4AJa0sP0emzsv5u0gcA3t2mrkO8tSdAAtpuNj7uhCWfq9vVISLLh8Ojsn4ZfEdgv0xOBFcAJAUHL&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:25:11:265","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:26:14:404","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:26:14:435","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:26:38:496","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""eQMW0a1Q3ZbO69EccjXkIgLjxxcB1O4_St_ZI4RfWiNy-Zu-r_6mwpNT8sSN51WPcIhEVHNV7rUyGg0CD7s0B5WvZbyJ3qOm2IN14mYu64bZAkLMBoJbR3TZQRg3CKXYWUAiABADBH"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:28:43:723","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:28:43:754","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:29:02:844","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""yz5nFIFHj4arBgC8hQtlwTKR1lrgYIddHGNQhVoksJ8QuAcz4v8MZVjV90lY-w2JsSDUvAy9bvtRRnIltx0jV9YFqzcvuuAODxfBYki6C8io3v4cbJLXSCNY3-_B4FMsLMGjAIADEY"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:35:17:077","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:35:17:109","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:35:33:013","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""waW0-PDaEwJZAXPXrKedaJP2q_CwMhf3apbcJ3zn9a1tRFy6NFvEwMgudfefbhBhxvwA4bJ637wmXe_2RQvD5d2KadYlOFCQYlozE_rUmtu30atNDPb795-snYHfIYANVHPgADALXF"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:36:39:834","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:36:39:881","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:36:46:032","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""bYhE_0qZ7RW7M_zfUsfe3CXDhIoAtAUy3emdFa1-Co9kMmB7LU536bzFh0BuydZUpsUZdlKEv9EQZP8DhfOYlJCu0iuxtAwW7TN5jA_-7IkXJDiAEACOI"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:37:55:191","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:37:55:238","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:37:59:109","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""FVomKHo_2pkSOJNNs1TwBDAun05iHuqHVr7X3bqJ0CF7pFBHbqY4nbcQ7jbOuI226U9cr3KTtgUrf_3DeQsOCjtffve1aD7Div5ACdcfA3Zj4TtqDJeKGJePVDGnlaZPCZRhABAPME"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:37:59:249","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=FVomKHo_2pkSOJNNs1TwBDAun05iHuqHVr7X3bqJ0CF7pFBHbqY4nbcQ7jbOuI226U9cr3KTtgUrf_3DeQsOCjtffve1aD7Div5ACdcfA3Zj4TtqDJeKGJePVDGnlaZPCZRhABAPME&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:38:16:497","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""FVomKHo_2pkSOJNNs1TwBDAun05iHuqHVr7X3bqJ0CEf5SSgImGbSSMxLG6MS8NvQD9gzpUn-z_AX4g3xHuskeEU4SEettlUt8fixrdmN478CaNF27jo2n9y_Xp-U1XJNFOhABAWOX"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
