"时间","级别","来源","类型","方法","消息","应用名称","执行类型","执行方法","执行目录"
"2017-04-14 12:04:14:658","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""AhyR87KfxwAJk83LFKw01rHKUfEGX5XhE76RRZo4e5hWijBWga2D-fXhvDv5_jAXurR3PIeOiTB2DZhzetFTpSd97oNREIqPVe-6Wh1X3clLLyjYK_snhr0o_-OLqrWXWYJhAGAZBM"",""expires_in"":7200}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 12:04:14:879","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/menu/get?access_token=AhyR87KfxwAJk83LFKw01rHKUfEGX5XhE76RRZo4e5hWijBWga2D-fXhvDv5_jAXurR3PIeOiTB2DZhzetFTpSd97oNREIqPVe-6Wh1X3clLLyjYK_snhr0o_-OLqrWXWYJhAGAZBM】, result:【{""menu"":{""button"":[{""name"":""政务资讯"",""sub_button"":[{""type"":""view"",""name"":""中心概况"",""url"":""http:\/\/www.elugo.cn\/01.html"",""sub_button"":[]},{""type"":""view"",""name"":""信息公开"",""url"":""http:\/\/www.elugo.cn\/02.html"",""sub_button"":[]}]},{""name"":""政务服务"",""sub_button"":[{""type"":""view"",""name"":""在线预约"",""url"":""http:\/\/www.elugo.cn\/03.html"",""sub_button"":[]},{""type"":""view"",""name"":""我的办理"",""url"":""http:\/\/www.elugo.cn\/04.html"",""sub_button"":[]},{""type"":""view"",""name"":""业务查询"",""url"":""http:\/\/www.elugo.cn\/06.html"",""sub_button"":[]},{""type"":""view"",""name"":""自助取件"",""url"":""http:\/\/www.elugo.cn\/07.html"",""sub_button"":[]}]},{""name"":""在线互动"",""sub_button"":[{""type"":""view"",""name"":""评价反馈"",""url"":""http:\/\/www.elugo.cn\/08.html"",""sub_button"":[]},{""type"":""view"",""name"":""生活服务"",""url"":""http:\/\/www.elugo.cn\/10.html"",""sub_button"":[]},{""type"":""view"",""name"":""大厅实况"",""url"":""http:\/\/jx.kuwo.cn\/678008?from=2004001003"",""sub_button"":[]}]}]}}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:30:56:461","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:30:56:498","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:30:56:945","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""0FSAppX9dMjMEIogXGOeb0ASJHV3C76mwS0FoN67TfeWgKXl2oYnto6aVQy2cVSg-cMRxwWMRRkAnm0arFArw8fYtYnUDwqHe8CUEEPTfCPDnbZTb_PmfHQIFFWzWvorAFFaAGAGLL"",""expires_in"":7200}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:30:57:128","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/menu/get?access_token=0FSAppX9dMjMEIogXGOeb0ASJHV3C76mwS0FoN67TfeWgKXl2oYnto6aVQy2cVSg-cMRxwWMRRkAnm0arFArw8fYtYnUDwqHe8CUEEPTfCPDnbZTb_PmfHQIFFWzWvorAFFaAGAGLL】, result:【{""menu"":{""button"":[{""name"":""政务资讯"",""sub_button"":[{""type"":""view"",""name"":""中心概况"",""url"":""http:\/\/www.elugo.cn\/01.html"",""sub_button"":[]},{""type"":""view"",""name"":""信息公开"",""url"":""http:\/\/www.elugo.cn\/02.html"",""sub_button"":[]},{""type"":""scancode_push"",""name"":""扫码推送"",""key"":""scancode_push"",""sub_button"":[]}]},{""name"":""政务服务"",""sub_button"":[{""type"":""view"",""name"":""在线预约"",""url"":""http:\/\/www.elugo.cn\/03.html"",""sub_button"":[]},{""type"":""view"",""name"":""我的办理"",""url"":""http:\/\/www.elugo.cn\/04.html"",""sub_button"":[]},{""type"":""view"",""name"":""业务查询"",""url"":""http:\/\/www.elugo.cn\/06.html"",""sub_button"":[]},{""type"":""view"",""name"":""自助取件"",""url"":""http:\/\/www.elugo.cn\/07.html"",""sub_button"":[]}]},{""name"":""在线互动"",""sub_button"":[{""type"":""view"",""name"":""评价反馈"",""url"":""http:\/\/www.elugo.cn\/08.html"",""sub_button"":[]},{""type"":""view"",""name"":""生活服务"",""url"":""http:\/\/www.elugo.cn\/10.html"",""sub_button"":[]},{""type"":""view"",""name"":""大厅实况"",""url"":""http:\/\/jx.kuwo.cn\/678008?from=2004001003"",""sub_button"":[]}]}]}}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:32:46:784","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendPostHttpRequest","Method=POST// url:【https://api.weixin.qq.com/cgi-bin/menu/create?access_token=0FSAppX9dMjMEIogXGOeb0ASJHV3C76mwS0FoN67TfeWgKXl2oYnto6aVQy2cVSg-cMRxwWMRRkAnm0arFArw8fYtYnUDwqHe8CUEEPTfCPDnbZTb_PmfHQIFFWzWvorAFFaAGAGLL】, requestData:【{""button"":[{""name"":""政务资讯"",""sub_button"":[{""type"":""view"",""name"":""中心概况"",""url"":""http:\/\/www.elugo.cn\/01.html""},{""type"":""view"",""name"":""信息公开"",""url"":""http:\/\/www.elugo.cn\/02.html""},{""type"":""click"",""name"":""扫码推送"",""key"":""scancode_push""}]},{""name"":""政务服务"",""sub_button"":[{""type"":""view"",""name"":""在线预约"",""url"":""http:\/\/www.elugo.cn\/03.html""},{""type"":""view"",""name"":""我的办理"",""url"":""http:\/\/www.elugo.cn\/04.html""},{""type"":""view"",""name"":""业务查询"",""url"":""http:\/\/www.elugo.cn\/06.html""},{""type"":""view"",""name"":""自助取件"",""url"":""http:\/\/www.elugo.cn\/07.html""}]},{""name"":""在线互动"",""sub_button"":[{""type"":""view"",""name"":""评价反馈"",""url"":""http:\/\/www.elugo.cn\/08.html""},{""type"":""view"",""name"":""生活服务"",""url"":""http:\/\/www.elugo.cn\/10.html""},{""type"":""view"",""name"":""大厅实况"",""url"":""http:\/\/jx.kuwo.cn\/678008?from=2004001003""}]}]}】 , result:【{""errcode"":0,""errmsg"":""ok""}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendPostHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:34:16:635","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:34:16:666","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:34:17:353","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""e2pV0r2CdfBLmJ_2AINZ8Fz-lhEWsd4HKrSd9JpN8wTP8NgqPFyuxFc_HMs5lV6cNlBpPpQeruQlnZ6hUvA9fgUseI5kbaiam7ataAZO8_ZBErW6bzTJalA09DM6NtvYSCTbACAWGX"",""expires_in"":7200}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:34:18:320","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendPostHttpRequest","Method=POST// url:【https://api.weixin.qq.com/cgi-bin/menu/create?access_token=e2pV0r2CdfBLmJ_2AINZ8Fz-lhEWsd4HKrSd9JpN8wTP8NgqPFyuxFc_HMs5lV6cNlBpPpQeruQlnZ6hUvA9fgUseI5kbaiam7ataAZO8_ZBErW6bzTJalA09DM6NtvYSCTbACAWGX】, requestData:【{""button"":[{""name"":""政务资讯"",""sub_button"":[{""type"":""view"",""name"":""中心概况"",""url"":""http:\/\/www.elugo.cn\/01.html""},{""type"":""view"",""name"":""信息公开"",""url"":""http:\/\/www.elugo.cn\/02.html""},{""type"":""scancode_push"",""name"":""扫码推送"",""key"":""scancode_push""}]},{""name"":""政务服务"",""sub_button"":[{""type"":""view"",""name"":""在线预约"",""url"":""http:\/\/www.elugo.cn\/03.html""},{""type"":""view"",""name"":""我的办理"",""url"":""http:\/\/www.elugo.cn\/04.html""},{""type"":""view"",""name"":""业务查询"",""url"":""http:\/\/www.elugo.cn\/06.html""},{""type"":""view"",""name"":""自助取件"",""url"":""http:\/\/www.elugo.cn\/07.html""}]},{""name"":""在线互动"",""sub_button"":[{""type"":""view"",""name"":""评价反馈"",""url"":""http:\/\/www.elugo.cn\/08.html""},{""type"":""view"",""name"":""生活服务"",""url"":""http:\/\/www.elugo.cn\/10.html""},{""type"":""view"",""name"":""大厅实况"",""url"":""http:\/\/jx.kuwo.cn\/678008?from=2004001003""}]}]}】 , result:【{""errcode"":0,""errmsg"":""ok""}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendPostHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:34:23:114","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendPostHttpRequest","Method=POST// url:【https://api.weixin.qq.com/cgi-bin/menu/create?access_token=e2pV0r2CdfBLmJ_2AINZ8Fz-lhEWsd4HKrSd9JpN8wTP8NgqPFyuxFc_HMs5lV6cNlBpPpQeruQlnZ6hUvA9fgUseI5kbaiam7ataAZO8_ZBErW6bzTJalA09DM6NtvYSCTbACAWGX】, requestData:【{""button"":[{""name"":""政务资讯"",""sub_button"":[{""type"":""view"",""name"":""中心概况"",""url"":""http:\/\/www.elugo.cn\/01.html""},{""type"":""view"",""name"":""信息公开"",""url"":""http:\/\/www.elugo.cn\/02.html""},{""type"":""scancode_push"",""name"":""扫码推送"",""key"":""scancode_push""}]},{""name"":""政务服务"",""sub_button"":[{""type"":""view"",""name"":""在线预约"",""url"":""http:\/\/www.elugo.cn\/03.html""},{""type"":""view"",""name"":""我的办理"",""url"":""http:\/\/www.elugo.cn\/04.html""},{""type"":""view"",""name"":""业务查询"",""url"":""http:\/\/www.elugo.cn\/06.html""},{""type"":""view"",""name"":""自助取件"",""url"":""http:\/\/www.elugo.cn\/07.html""}]},{""name"":""在线互动"",""sub_button"":[{""type"":""view"",""name"":""评价反馈"",""url"":""http:\/\/www.elugo.cn\/08.html""},{""type"":""view"",""name"":""生活服务"",""url"":""http:\/\/www.elugo.cn\/10.html""},{""type"":""view"",""name"":""大厅实况"",""url"":""http:\/\/jx.kuwo.cn\/678008?from=2004001003""}]}]}】 , result:【{""errcode"":0,""errmsg"":""ok""}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendPostHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:35:08:219","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:35:08:250","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:35:08:789","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""uIHzndrg2mDxWxZ-1YKtEfiCG8ezcX07ZDUGYvESqrjiKmUw1oTDqaJBmlJeVvW6tKKETQwK1oRbYKROppjhrIOHIMdgS_M7Zfr-UGpr8L2icQl5qckcGI5-hDAomYsPBDDfAEAFHH"",""expires_in"":7200}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:35:09:737","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendPostHttpRequest","Method=POST// url:【https://api.weixin.qq.com/cgi-bin/menu/create?access_token=uIHzndrg2mDxWxZ-1YKtEfiCG8ezcX07ZDUGYvESqrjiKmUw1oTDqaJBmlJeVvW6tKKETQwK1oRbYKROppjhrIOHIMdgS_M7Zfr-UGpr8L2icQl5qckcGI5-hDAomYsPBDDfAEAFHH】, requestData:【{""button"":[{""name"":""政务资讯"",""sub_button"":[{""type"":""view"",""name"":""中心概况"",""url"":""http:\/\/www.elugo.cn\/01.html""},{""type"":""view"",""name"":""信息公开"",""url"":""http:\/\/www.elugo.cn\/02.html""},{""type"":""scancode_push"",""name"":""扫码推送"",""key"":""scancode_push""}]},{""name"":""政务服务"",""sub_button"":[{""type"":""view"",""name"":""在线预约"",""url"":""http:\/\/www.elugo.cn\/03.html""},{""type"":""view"",""name"":""我的办理"",""url"":""http:\/\/www.elugo.cn\/04.html""},{""type"":""view"",""name"":""业务查询"",""url"":""http:\/\/www.elugo.cn\/06.html""},{""type"":""view"",""name"":""自助取件"",""url"":""http:\/\/www.elugo.cn\/07.html""}]},{""name"":""在线互动"",""sub_button"":[{""type"":""view"",""name"":""评价反馈"",""url"":""http:\/\/www.elugo.cn\/08.html""},{""type"":""view"",""name"":""生活服务"",""url"":""http:\/\/www.elugo.cn\/10.html""},{""type"":""view"",""name"":""大厅实况"",""url"":""http:\/\/jx.kuwo.cn\/678008?from=2004001003""}]}]}】 , result:【{""errcode"":0,""errmsg"":""ok""}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendPostHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:35:10:447","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendPostHttpRequest","Method=POST// url:【https://api.weixin.qq.com/cgi-bin/menu/create?access_token=uIHzndrg2mDxWxZ-1YKtEfiCG8ezcX07ZDUGYvESqrjiKmUw1oTDqaJBmlJeVvW6tKKETQwK1oRbYKROppjhrIOHIMdgS_M7Zfr-UGpr8L2icQl5qckcGI5-hDAomYsPBDDfAEAFHH】, requestData:【{""button"":[{""name"":""政务资讯"",""sub_button"":[{""type"":""view"",""name"":""中心概况"",""url"":""http:\/\/www.elugo.cn\/01.html""},{""type"":""view"",""name"":""信息公开"",""url"":""http:\/\/www.elugo.cn\/02.html""},{""type"":""scancode_push"",""name"":""扫码推送"",""key"":""scancode_push""}]},{""name"":""政务服务"",""sub_button"":[{""type"":""view"",""name"":""在线预约"",""url"":""http:\/\/www.elugo.cn\/03.html""},{""type"":""view"",""name"":""我的办理"",""url"":""http:\/\/www.elugo.cn\/04.html""},{""type"":""view"",""name"":""业务查询"",""url"":""http:\/\/www.elugo.cn\/06.html""},{""type"":""view"",""name"":""自助取件"",""url"":""http:\/\/www.elugo.cn\/07.html""}]},{""name"":""在线互动"",""sub_button"":[{""type"":""view"",""name"":""评价反馈"",""url"":""http:\/\/www.elugo.cn\/08.html""},{""type"":""view"",""name"":""生活服务"",""url"":""http:\/\/www.elugo.cn\/10.html""},{""type"":""view"",""name"":""大厅实况"",""url"":""http:\/\/jx.kuwo.cn\/678008?from=2004001003""}]}]}】 , result:【{""errcode"":0,""errmsg"":""ok""}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendPostHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:37:08:903","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:37:08:935","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:37:09:527","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""_fForsE1G6f5lw8H5Hk5CUJLuarlGKqMzzkpoycLNvubsF0iZvnSdt7VV_7rEaRDwFyOFI9NN3eZdMbNuyhP8ySeJszoC2caP4ct-uTitaFr17mnp2tV1LJtQ-x_KcsCKEPbAIASMX"",""expires_in"":7200}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:37:09:793","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/menu/get?access_token=_fForsE1G6f5lw8H5Hk5CUJLuarlGKqMzzkpoycLNvubsF0iZvnSdt7VV_7rEaRDwFyOFI9NN3eZdMbNuyhP8ySeJszoC2caP4ct-uTitaFr17mnp2tV1LJtQ-x_KcsCKEPbAIASMX】, result:【{""menu"":{""button"":[{""name"":""政务资讯"",""sub_button"":[{""type"":""view"",""name"":""中心概况"",""url"":""http:\/\/www.elugo.cn\/01.html"",""sub_button"":[]},{""type"":""view"",""name"":""信息公开"",""url"":""http:\/\/www.elugo.cn\/02.html"",""sub_button"":[]},{""type"":""scancode_push"",""name"":""扫码推送"",""key"":""scancode_push"",""sub_button"":[]}]},{""name"":""政务服务"",""sub_button"":[{""type"":""view"",""name"":""在线预约"",""url"":""http:\/\/www.elugo.cn\/03.html"",""sub_button"":[]},{""type"":""view"",""name"":""我的办理"",""url"":""http:\/\/www.elugo.cn\/04.html"",""sub_button"":[]},{""type"":""view"",""name"":""业务查询"",""url"":""http:\/\/www.elugo.cn\/06.html"",""sub_button"":[]},{""type"":""view"",""name"":""自助取件"",""url"":""http:\/\/www.elugo.cn\/07.html"",""sub_button"":[]}]},{""name"":""在线互动"",""sub_button"":[{""type"":""view"",""name"":""评价反馈"",""url"":""http:\/\/www.elugo.cn\/08.html"",""sub_button"":[]},{""type"":""view"",""name"":""生活服务"",""url"":""http:\/\/www.elugo.cn\/10.html"",""sub_button"":[]},{""type"":""view"",""name"":""大厅实况"",""url"":""http:\/\/jx.kuwo.cn\/678008?from=2004001003"",""sub_button"":[]}]}]}}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:40:03:525","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/menu/delete?access_token=_fForsE1G6f5lw8H5Hk5CUJLuarlGKqMzzkpoycLNvubsF0iZvnSdt7VV_7rEaRDwFyOFI9NN3eZdMbNuyhP8ySeJszoC2caP4ct-uTitaFr17mnp2tV1LJtQ-x_KcsCKEPbAIASMX】, result:【{""errcode"":0,""errmsg"":""ok""}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:40:12:891","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:40:12:922","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_44ADCF2E","OtNaf.ComLib.OtCom","cctor","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:40:13:577","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""MIxLDgVp-UJtQRtz-jOpzOOuXDKo7stwHC994Q14gVeOgzi6M9uOf5DF5ss8s1ARz997s3cbtgguEO0u5PTiRu3xfVIMxvVfcSqq1-LX8BEPKBbAJACXO"",""expires_in"":7200}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
"2017-04-14 15:40:13:811","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/menu/get?access_token=MIxLDgVp-UJtQRtz-jOpzOOuXDKo7stwHC994Q14gVeOgzi6M9uOf5DF5ss8s1ARz997s3cbtgguEO0u5PTiRu3xfVIMxvVfcSqq1-LX8BEPKBbAJACXO】, result:【{""errcode"":46003,""errmsg"":""menu no exist hint: [C87HqA0603vr23]""}】","OtNaf_44ADCF2E","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\weChat\WxDemo\WxWeb\Bin\"
